/home/yash/Projects/Control-NSDP/Environments
Module path:  Environments.MountainCar MountainCar
Dynamically loaded from:  <class 'Environments.MountainCar.MountainCar'>
Module path:  Src.Algorithms.ActorCritic ActorCritic
Dynamically loaded from:  <class 'Src.Algorithms.ActorCritic.ActorCritic'>
=====Configurations=====
 Namespace(actor_lr=0.0005, algo_name='ActorCritic', alpha=0.5, base=0, batch_size=1, critic_lr=0.005, debug=True, entropy_lambda=0.0001, env_name='MountainCar', experiment='Data', folder_suffix='Default', gamma=1, gpu=0, hyper=0, inc=23, log_output='term_file', max_episodes=10000, optim='rmsprop', raw_basis=False, restore=False, save_count=100, save_model=True, seed=23, speed=0, state_lr=0.0005, summary=True, swarm=False, timestamp='4|5|9:11:13')
Actions space: 3 :: State space: 2
State Low: tensor([-1.2000, -0.0700]) :: State High: tensor([0.6000, 0.0700])
State features:  [('dummy_param', torch.Size([1]))]
Policy:  [('fc1.weight', torch.Size([3, 16])), ('fc1.bias', torch.Size([3]))]
Critic:  [('fc1.weight', torch.Size([1, 16])), ('fc1.bias', torch.Size([1]))]
Loaded model from last checkpoint...
Beta Collected 0/2000 :: Average return -252.0
Beta Collected 20/2000 :: Average return -173.0
Beta Collected 40/2000 :: Average return -195.0
Beta Collected 60/2000 :: Average return -251.0
Beta Collected 80/2000 :: Average return -153.0
Beta Collected 100/2000 :: Average return -257.0
Beta Collected 120/2000 :: Average return -300.0
Beta Collected 140/2000 :: Average return -300.0
Beta Collected 160/2000 :: Average return -300.0
Beta Collected 180/2000 :: Average return -224.0
Beta Collected 200/2000 :: Average return -116.0
Beta Collected 220/2000 :: Average return -156.0
Beta Collected 240/2000 :: Average return -300.0
Beta Collected 260/2000 :: Average return -216.0
Beta Collected 280/2000 :: Average return -300.0
Beta Collected 300/2000 :: Average return -203.0
Beta Collected 320/2000 :: Average return -225.0
Beta Collected 340/2000 :: Average return -147.0
Beta Collected 360/2000 :: Average return -226.0
Beta Collected 380/2000 :: Average return -173.0
Beta Collected 400/2000 :: Average return -300.0
Beta Collected 420/2000 :: Average return -222.0
Beta Collected 440/2000 :: Average return -300.0
Beta Collected 460/2000 :: Average return -300.0
Beta Collected 480/2000 :: Average return -300.0
Beta Collected 500/2000 :: Average return -156.0
Beta Collected 520/2000 :: Average return -244.0
Beta Collected 540/2000 :: Average return -173.0
Beta Collected 560/2000 :: Average return -92.0
